company_slug,公司名称,行业,榜单归属,官方招聘入口,平台类型,处理状态,预计岗位数,已采集岗位数,阻塞原因,最后探源时间,适配器规格
tencent,腾讯,技术、产品、设计、市场、职能,行业种子,https://join.qq.com/,自建,声明范围完整,899,899,,2026-09-10,POST https://join.qq.com/api/v1/position/searchPosition
bytedance,字节跳动,研发、产品、运营、设计、数据、销售、职能,行业种子,https://jobs.bytedance.com/campus,自建,声明范围完整,7581,7581,,2026-09-10,POST https://jobs.bytedance.com/api/v1/search/job/posts (limit=10 offset分页)
alibaba,阿里巴巴,技术、产品、运营、设计、数据、算法、职能,行业种子,https://campus-talent.alibaba.com/campus/index,自建,声明范围完整,477,477,,2026-09-10,POST https://campus-talent.alibaba.com/position/search (需CSRF token)
jd,京东,技术、产品、运营、供应链、金融、职能、市场,行业种子,https://campus.jd.com/,自建,声明范围完整,126,126,,2026-09-10,POST https://campus.jd.com/api/wx/position/page
meituan,美团,技术、产品、运营、数据、设计、职能、供应链,行业种子,https://zhaopin.meituan.com/web/index,自建,有可用岗位部分覆盖,604,189,,2026-09-10,POST https://zhaopin.meituan.com/api/official/job/getJobList
netease,网易,技术、产品、运营、设计、游戏策划、职能,行业种子,https://campus.163.com/,自建,声明范围完整,10,10,网易为去中心化架构，互娱/雷火为独立站点(leihuo.163.com/campus等)，需分别适配；互联网项目仅10个岗位,2026-09-10,GET https://campus.163.com/api/campuspc/position/getJobList
hengrui,恒瑞医药,,行业种子,https://app.mokahr.com/social-recruitment/hengrui/145996,Moka,声明范围完整,444,444,,2026-09-10,https://app.mokahr.com/campus-recruitment/hengrui#/job/{job_uuid}
mindray,迈瑞医疗,,行业种子,https://career.mindray.com/campus,北森,声明范围完整,20,20,,2026-09-10,北森SPA路由(待确认具体路径)
pharmaron,康龙化成,,行业种子,https://app.mokahr.com/campus-recruitment/pharmaron/44352,Moka,声明范围完整,584,584,,2026-09-10,https://app.mokahr.com/campus-recruitment/pharmaron/44352#/job/{job_uuid}
novoprotein,诺唯赞,,行业种子,未确认(官网无直接招聘链接，Workday租户维护中，北森页面Error),Workday,访问受阻,0,0,官方招聘系统不可直接访问: (1)Workday域名novoprotein.wd5.myworkdayjobs.com存在但UI重定向至维护页，API返回HTTP 422; (2)北森vazyme.zhiye.com所有页面返回Error; (3)vazyme.italent.cn被robots.txt禁止; (4)官网无直接招聘入口。职位ID格式MJxxxxx确认使用Workday但租户不可用。第三方猎聘佐证52个在招职位含2个学生职位。,2026-09-10,未确认(MJ前缀Workday ID，但租户维护中)
